Label (Grouping),Median income (dollars)
        Estimate,-
        Margin of Error,**
"Census Tract 1094, Los Angeles County, California",
    Households,
        Estimate,"82,215"
        Margin of Error,"±9,679"
    Families,
        Estimate,"94,500"
        Margin of Error,"±11,967"
    Married-couple families,
        Estimate,"107,176"
        Margin of Error,"±14,551"
    Nonfamily households,
        Estimate,"42,989"
        Margin of Error,"±21,451"
"Census Tract 1095, Los Angeles County, California",
    Households,
        Estimate,"33,387"
        Margin of Error,"±12,815"
    Families,
        Estimate,"34,421"
        Margin of Error,"±11,531"
    Married-couple families,
        Estimate,"32,038"
        Margin of Error,"±19,057"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1096.01, Los Angeles County, California",
    Households,
        Estimate,"93,778"
        Margin of Error,"±8,664"
    Families,
        Estimate,"95,114"
        Margin of Error,"±13,952"
    Married-couple families,
        Estimate,"94,408"
        Margin of Error,"±27,659"
    Nonfamily households,
        Estimate,"63,452"
        Margin of Error,"±41,248"
"Census Tract 1096.03, Los Angeles County, California",
    Households,
        Estimate,"56,970"
        Margin of Error,"±15,640"
    Families,
        Estimate,"65,797"
        Margin of Error,"±5,943"
    Married-couple families,
        Estimate,"66,395"
        Margin of Error,"±24,676"
    Nonfamily households,
        Estimate,"35,786"
        Margin of Error,"±26,549"
"Census Tract 1096.04, Los Angeles County, California",
    Households,
        Estimate,"92,500"
        Margin of Error,"±19,997"
    Families,
        Estimate,"100,972"
        Margin of Error,"±7,123"
    Married-couple families,
        Estimate,"105,865"
        Margin of Error,"±12,993"
    Nonfamily households,
        Estimate,"28,611"
        Margin of Error,"±20,630"
"Census Tract 1097, Los Angeles County, California",
    Households,
        Estimate,"101,709"
        Margin of Error,"±8,063"
    Families,
        Estimate,"112,760"
        Margin of Error,"±21,905"
    Married-couple families,
        Estimate,"127,824"
        Margin of Error,"±23,498"
    Nonfamily households,
        Estimate,"74,102"
        Margin of Error,"±27,614"
"Census Tract 1098, Los Angeles County, California",
    Households,
        Estimate,"92,356"
        Margin of Error,"±21,749"
    Families,
        Estimate,"101,708"
        Margin of Error,"±22,109"
    Married-couple families,
        Estimate,"110,563"
        Margin of Error,"±22,737"
    Nonfamily households,
        Estimate,"47,188"
        Margin of Error,"±36,541"
"Census Tract 1111, Los Angeles County, California",
    Households,
        Estimate,"91,648"
        Margin of Error,"±8,321"
    Families,
        Estimate,"91,000"
        Margin of Error,"±9,923"
    Married-couple families,
        Estimate,"98,000"
        Margin of Error,"±14,711"
    Nonfamily households,
        Estimate,"90,221"
        Margin of Error,"±12,295"
"Census Tract 1112.01, Los Angeles County, California",
    Households,
        Estimate,"90,341"
        Margin of Error,"±22,702"
    Families,
        Estimate,"106,230"
        Margin of Error,"±24,497"
    Married-couple families,
        Estimate,"106,602"
        Margin of Error,"±34,999"
    Nonfamily households,
        Estimate,"60,357"
        Margin of Error,"±40,415"
"Census Tract 1112.02, Los Angeles County, California",
    Households,
        Estimate,"84,240"
        Margin of Error,"±10,268"
    Families,
        Estimate,"113,469"
        Margin of Error,"±17,424"
    Married-couple families,
        Estimate,"124,028"
        Margin of Error,"±16,596"
    Nonfamily households,
        Estimate,"44,792"
        Margin of Error,"±12,852"
"Census Tract 1112.04, Los Angeles County, California",
    Households,
        Estimate,"154,038"
        Margin of Error,"±20,918"
    Families,
        Estimate,"161,354"
        Margin of Error,"±23,007"
    Married-couple families,
        Estimate,"166,307"
        Margin of Error,"±26,923"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1112.05, Los Angeles County, California",
    Households,
        Estimate,"77,351"
        Margin of Error,"±15,708"
    Families,
        Estimate,"110,275"
        Margin of Error,"±21,297"
    Married-couple families,
        Estimate,"112,288"
        Margin of Error,"±33,506"
    Nonfamily households,
        Estimate,"63,033"
        Margin of Error,"±8,310"
"Census Tract 1112.06, Los Angeles County, California",
    Households,
        Estimate,"114,275"
        Margin of Error,"±25,635"
    Families,
        Estimate,"131,066"
        Margin of Error,"±23,365"
    Married-couple families,
        Estimate,"134,167"
        Margin of Error,"±23,263"
    Nonfamily households,
        Estimate,"42,500"
        Margin of Error,"±25,331"
"Census Tract 1113.01, Los Angeles County, California",
    Households,
        Estimate,"66,861"
        Margin of Error,"±15,466"
    Families,
        Estimate,"70,139"
        Margin of Error,"±14,118"
    Married-couple families,
        Estimate,"78,134"
        Margin of Error,"±14,311"
    Nonfamily households,
        Estimate,"59,208"
        Margin of Error,"±31,087"
"Census Tract 1113.02, Los Angeles County, California",
    Households,
        Estimate,"62,865"
        Margin of Error,"±15,358"
    Families,
        Estimate,"81,890"
        Margin of Error,"±11,993"
    Married-couple families,
        Estimate,"110,000"
        Margin of Error,"±20,790"
    Nonfamily households,
        Estimate,"32,994"
        Margin of Error,"±10,287"
"Census Tract 1114, Los Angeles County, California",
    Households,
        Estimate,"61,467"
        Margin of Error,"±5,880"
    Families,
        Estimate,"63,893"
        Margin of Error,"±10,005"
    Married-couple families,
        Estimate,"73,977"
        Margin of Error,"±6,961"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 1131.01, Los Angeles County, California",
    Households,
        Estimate,"106,000"
        Margin of Error,"±16,414"
    Families,
        Estimate,"112,614"
        Margin of Error,"±18,658"
    Married-couple families,
        Estimate,"121,477"
        Margin of Error,"±15,540"
    Nonfamily households,
        Estimate,"65,288"
        Margin of Error,"±6,940"
"Census Tract 1131.02, Los Angeles County, California",
    Households,
        Estimate,"163,021"
        Margin of Error,"±24,636"
    Families,
        Estimate,"174,583"
        Margin of Error,"±26,009"
    Married-couple families,
        Estimate,"176,000"
        Margin of Error,"±18,202"
    Nonfamily households,
        Estimate,"57,750"
        Margin of Error,"±47,721"
"Census Tract 1132.11, Los Angeles County, California",
    Households,
        Estimate,"91,094"
        Margin of Error,"±5,602"
    Families,
        Estimate,"98,929"
        Margin of Error,"±7,960"
    Married-couple families,
        Estimate,"104,375"
        Margin of Error,"±24,404"
    Nonfamily households,
        Estimate,"78,092"
        Margin of Error,"±11,618"
"Census Tract 1132.12, Los Angeles County, California",
    Households,
        Estimate,"84,429"
        Margin of Error,"±15,294"
    Families,
