Label (Grouping),Median income (dollars)
    Married-couple families,
        Estimate,"226,532"
        Margin of Error,"±32,845"
    Nonfamily households,
        Estimate,"117,500"
        Margin of Error,"±16,197"
"Census Tract 7001.01, Los Angeles County, California",
    Households,
        Estimate,"57,260"
        Margin of Error,"±14,913"
    Families,
        Estimate,"108,438"
        Margin of Error,"±14,941"
    Married-couple families,
        Estimate,"114,136"
        Margin of Error,"±6,002"
    Nonfamily households,
        Estimate,"44,324"
        Margin of Error,"±14,289"
"Census Tract 7001.02, Los Angeles County, California",
    Households,
        Estimate,"43,202"
        Margin of Error,"±7,076"
    Families,
        Estimate,"50,081"
        Margin of Error,"±22,793"
    Married-couple families,
        Estimate,"45,903"
        Margin of Error,"±38,432"
    Nonfamily households,
        Estimate,"38,939"
        Margin of Error,"±10,761"
"Census Tract 7002, Los Angeles County, California",
    Households,
        Estimate,"70,580"
        Margin of Error,"±16,863"
    Families,
        Estimate,"105,083"
        Margin of Error,"±58,606"
    Married-couple families,
        Estimate,"105,083"
        Margin of Error,"±55,948"
    Nonfamily households,
        Estimate,"58,818"
        Margin of Error,"±11,249"
"Census Tract 7003, Los Angeles County, California",
    Households,
        Estimate,"94,315"
        Margin of Error,"±17,521"
    Families,
        Estimate,"110,147"
        Margin of Error,"±26,307"
    Married-couple families,
        Estimate,"109,643"
        Margin of Error,"±24,204"
    Nonfamily households,
        Estimate,"88,504"
        Margin of Error,"±17,004"
"Census Tract 7004, Los Angeles County, California",
    Households,
        Estimate,"104,338"
        Margin of Error,"±24,481"
    Families,
        Estimate,"124,583"
        Margin of Error,"±37,009"
    Married-couple families,
        Estimate,"127,125"
        Margin of Error,"±45,407"
    Nonfamily households,
        Estimate,"88,692"
        Margin of Error,"±28,899"
"Census Tract 7005.01, Los Angeles County, California",
    Households,
        Estimate,"76,637"
        Margin of Error,"±24,744"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"68,453"
        Margin of Error,"±28,789"
"Census Tract 7005.02, Los Angeles County, California",
    Households,
        Estimate,"73,500"
        Margin of Error,"±22,100"
    Families,
        Estimate,"130,938"
        Margin of Error,"±44,782"
    Married-couple families,
        Estimate,"211,806"
        Margin of Error,"±134,591"
    Nonfamily households,
        Estimate,"65,900"
        Margin of Error,"±14,769"
"Census Tract 7006, Los Angeles County, California",
    Households,
        Estimate,"191,066"
        Margin of Error,"±29,816"
    Families,
        Estimate,"206,382"
        Margin of Error,"±64,632"
    Married-couple families,
        Estimate,"250,000+"
        Margin of Error,***
    Nonfamily households,
        Estimate,"100,568"
        Margin of Error,"±99,290"
"Census Tract 7007, Los Angeles County, California",
    Households,
        Estimate,"184,393"
        Margin of Error,"±26,794"
    Families,
        Estimate,"250,000+"
        Margin of Error,***
    Married-couple families,
        Estimate,"250,000+"
        Margin of Error,***
    Nonfamily households,
        Estimate,"150,441"
        Margin of Error,"±64,919"
"Census Tract 7008.01, Los Angeles County, California",
    Households,
        Estimate,"83,333"
        Margin of Error,"±18,651"
    Families,
        Estimate,"117,699"
        Margin of Error,"±29,076"
    Married-couple families,
        Estimate,"134,766"
        Margin of Error,"±34,760"
    Nonfamily households,
        Estimate,"43,789"
        Margin of Error,"±36,874"
"Census Tract 7008.02, Los Angeles County, California",
    Households,
        Estimate,"85,078"
        Margin of Error,"±23,376"
    Families,
        Estimate,"149,559"
        Margin of Error,"±26,065"
    Married-couple families,
        Estimate,"153,111"
        Margin of Error,"±3,415"
    Nonfamily households,
        Estimate,"54,855"
        Margin of Error,"±14,444"
"Census Tract 7009.01, Los Angeles County, California",
    Households,
        Estimate,"86,143"
        Margin of Error,"±14,664"
    Families,
        Estimate,"139,402"
        Margin of Error,"±24,650"
    Married-couple families,
        Estimate,"161,976"
        Margin of Error,"±73,272"
    Nonfamily households,
        Estimate,"61,632"
        Margin of Error,"±6,932"
"Census Tract 7009.02, Los Angeles County, California",
    Households,
        Estimate,"90,444"
        Margin of Error,"±9,409"
    Families,
        Estimate,"121,985"
        Margin of Error,"±30,616"
    Married-couple families,
        Estimate,"144,570"
        Margin of Error,"±36,801"
    Nonfamily households,
        Estimate,"71,045"
        Margin of Error,"±17,344"
"Census Tract 7010, Los Angeles County, California",
    Households,
        Estimate,"100,391"
        Margin of Error,"±27,311"
    Families,
        Estimate,"154,217"
        Margin of Error,"±73,086"
    Married-couple families,
        Estimate,"154,608"
        Margin of Error,"±112,275"
    Nonfamily households,
        Estimate,"63,661"
        Margin of Error,"±27,722"
"Census Tract 7011, Los Angeles County, California",
    Households,
        Estimate,"45,536"
        Margin of Error,"±34,084"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 7012.01, Los Angeles County, California",
    Households,
        Estimate,"234,519"
        Margin of Error,"±51,486"
    Families,
        Estimate,"250,000+"
        Margin of Error,***
    Married-couple families,
        Estimate,"250,000+"
        Margin of Error,***
    Nonfamily households,
        Estimate,"57,361"
        Margin of Error,"±49,213"
"Census Tract 7012.02, Los Angeles County, California",
    Households,
        Estimate,"126,875"
        Margin of Error,"±21,542"
    Families,
        Estimate,"161,875"
        Margin of Error,"±17,843"
    Married-couple families,
        Estimate,"168,295"
        Margin of Error,"±46,273"
    Nonfamily households,
        Estimate,"78,162"
        Margin of Error,"±30,278"
"Census Tract 7013.02, Los Angeles County, California",
    Households,
        Estimate,"92,023"
        Margin of Error,"±14,438"
    Families,
        Estimate,"135,321"
        Margin of Error,"±30,764"
    Married-couple families,
        Estimate,"137,464"
        Margin of Error,"±51,367"
    Nonfamily households,
        Estimate,"78,728"
        Margin of Error,"±18,893"
"Census Tract 7013.04, Los Angeles County, California",
    Households,
        Estimate,"126,713"
        Margin of Error,"±17,489"
    Families,
        Estimate,"178,914"
        Margin of Error,"±48,459"
    Married-couple families,
        Estimate,"200,547"
        Margin of Error,"±42,427"
    Nonfamily households,
        Estimate,"86,583"
        Margin of Error,"±58,608"
"Census Tract 7014.02, Los Angeles County, California",
    Households,
        Estimate,"103,590"
        Margin of Error,"±12,393"
    Families,
        Estimate,"128,625"
        Margin of Error,"±33,928"
    Married-couple families,
        Estimate,"129,792"
        Margin of Error,"±36,533"
    Nonfamily households,
        Estimate,"66,301"
        Margin of Error,"±62,493"
"Census Tract 7015.01, Los Angeles County, California",
    Households,
        Estimate,"107,621"
        Margin of Error,"±24,219"
    Families,
        Estimate,"161,563"
        Margin of Error,"±24,492"
    Married-couple families,
        Estimate,"172,535"
        Margin of Error,"±11,403"
    Nonfamily households,
        Estimate,"80,625"
        Margin of Error,"±17,907"
"Census Tract 7015.02, Los Angeles County, California",
    Households,
        Estimate,"95,417"
        Margin of Error,"±11,031"
    Families,
        Estimate,"114,000"
        Margin of Error,"±27,379"
    Married-couple families,
        Estimate,"130,375"
        Margin of Error,"±30,051"
    Nonfamily households,
        Estimate,"84,152"
        Margin of Error,"±14,623"
"Census Tract 7016.01, Los Angeles County, California",
    Households,
        Estimate,"136,500"
        Margin of Error,"±18,375"
    Families,
        Estimate,"143,106"
        Margin of Error,"±29,385"
    Married-couple families,
        Estimate,"174,018"
        Margin of Error,"±64,974"
    Nonfamily households,
        Estimate,"94,750"
        Margin of Error,"±22,468"
"Census Tract 7016.02, Los Angeles County, California",
    Households,
        Estimate,"106,923"
        Margin of Error,"±21,733"
    Families,
        Estimate,"146,250"
        Margin of Error,"±65,098"
    Married-couple families,
        Estimate,"205,147"
        Margin of Error,"±55,927"
    Nonfamily households,
        Estimate,"85,156"
        Margin of Error,"±21,663"
"Census Tract 7017.01, Los Angeles County, California",
    Households,
        Estimate,"75,417"
        Margin of Error,"±12,070"
    Families,
        Estimate,"88,281"
        Margin of Error,"±35,005"
    Married-couple families,
        Estimate,"102,614"
        Margin of Error,"±39,953"
    Nonfamily households,
        Estimate,"52,036"
        Margin of Error,"±12,487"
"Census Tract 7017.02, Los Angeles County, California",
    Households,
        Estimate,"67,619"
        Margin of Error,"±20,035"
    Families,
        Estimate,"103,750"
        Margin of Error,"±43,677"
    Married-couple families,
        Estimate,"116,369"
        Margin of Error,"±46,422"
    Nonfamily households,
        Estimate,"61,136"
        Margin of Error,"±14,854"
"Census Tract 7018.01, Los Angeles County, California",
    Households,
        Estimate,"65,888"
        Margin of Error,"±9,842"
    Families,
        Estimate,"76,053"
        Margin of Error,"±12,500"
    Married-couple families,
        Estimate,"87,891"
        Margin of Error,"±26,476"
    Nonfamily households,
        Estimate,"46,625"
        Margin of Error,"±12,649"
"Census Tract 7018.02, Los Angeles County, California",
    Households,
        Estimate,"68,828"
        Margin of Error,"±18,263"
    Families,
        Estimate,"78,152"
        Margin of Error,"±24,255"
    Married-couple families,
        Estimate,"111,513"
        Margin of Error,"±37,350"
    Nonfamily households,
        Estimate,"57,344"
        Margin of Error,"±15,505"
"Census Tract 7019.02, Los Angeles County, California",
    Households,
        Estimate,"67,422"
        Margin of Error,"±47,356"
    Families,
        Estimate,"118,750"
        Margin of Error,"±63,670"
    Married-couple families,
        Estimate,"127,870"
        Margin of Error,"±60,229"
    Nonfamily households,
        Estimate,"60,046"
        Margin of Error,"±37,556"
"Census Tract 7020.02, Los Angeles County, California",
    Households,
        Estimate,"91,859"
        Margin of Error,"±13,393"
    Families,
        Estimate,"98,938"
        Margin of Error,"±12,597"
    Married-couple families,
        Estimate,"108,750"
        Margin of Error,"±64,040"
    Nonfamily households,
        Estimate,"83,730"
        Margin of Error,"±23,831"
"Census Tract 7021.02, Los Angeles County, California",
    Households,
        Estimate,"81,727"
        Margin of Error,"±5,235"
    Families,
        Estimate,"101,875"
        Margin of Error,"±40,956"
    Married-couple families,
        Estimate,"128,333"
        Margin of Error,"±42,801"
    Nonfamily households,
        Estimate,"79,764"
        Margin of Error,"±7,677"
"Census Tract 7022.01, Los Angeles County, California",
    Households,
        Estimate,"90,769"
        Margin of Error,"±16,769"
    Families,
        Estimate,"136,346"
        Margin of Error,"±52,688"
    Married-couple families,
        Estimate,"151,453"
        Margin of Error,"±29,702"
    Nonfamily households,
        Estimate,"65,872"
        Margin of Error,"±24,837"
"Census Tract 7022.02, Los Angeles County, California",
    Households,
        Estimate,"121,719"
        Margin of Error,"±14,803"
    Families,
        Estimate,"153,500"
        Margin of Error,"±32,799"
    Married-couple families,
        Estimate,"174,423"
        Margin of Error,"±40,746"
    Nonfamily households,
        Estimate,"96,250"
        Margin of Error,"±9,604"
"Census Tract 7023, Los Angeles County, California",
    Households,
        Estimate,"114,514"
        Margin of Error,"±37,281"
    Families,
        Estimate,"152,216"
        Margin of Error,"±29,908"
    Married-couple families,
        Estimate,"183,125"
        Margin of Error,"±32,523"
    Nonfamily households,
        Estimate,"67,583"
        Margin of Error,"±23,074"
"Census Tract 7024, Los Angeles County, California",
    Households,
        Estimate,"78,594"
        Margin of Error,"±17,300"
    Families,
        Estimate,"119,737"
        Margin of Error,"±20,226"
    Married-couple families,
        Estimate,"141,250"
        Margin of Error,"±36,862"
    Nonfamily households,
        Estimate,"62,665"
        Margin of Error,"±13,275"
"Census Tract 7025.01, Los Angeles County, California",
    Households,
        Estimate,"111,136"
        Margin of Error,"±24,018"
    Families,
        Estimate,"151,988"
        Margin of Error,"±18,724"
    Married-couple families,
        Estimate,"173,281"
        Margin of Error,"±32,060"
    Nonfamily households,
        Estimate,"90,737"
        Margin of Error,"±25,564"
"Census Tract 7025.02, Los Angeles County, California",
    Households,
        Estimate,"86,959"
        Margin of Error,"±14,024"
    Families,
        Estimate,"109,917"
        Margin of Error,"±43,852"
    Married-couple families,
        Estimate,"151,129"
        Margin of Error,"±80,798"
    Nonfamily households,
        Estimate,"78,333"
        Margin of Error,"±5,893"
"Census Tract 7026, Los Angeles County, California",
    Households,
        Estimate,"120,671"
        Margin of Error,"±14,696"
    Families,
        Estimate,"122,363"
        Margin of Error,"±11,702"
    Married-couple families,
        Estimate,"144,265"
        Margin of Error,"±32,972"
    Nonfamily households,
        Estimate,"46,776"
        Margin of Error,"±26,870"
"Census Tract 7027, Los Angeles County, California",
    Households,
        Estimate,"135,430"
        Margin of Error,"±17,569"
    Families,
        Estimate,"148,203"
        Margin of Error,"±26,118"
    Married-couple families,
        Estimate,"174,844"
        Margin of Error,"±23,870"
    Nonfamily households,
        Estimate,"73,148"
        Margin of Error,"±18,034"
"Census Tract 7028.01, Los Angeles County, California",
    Households,
        Estimate,"62,061"
        Margin of Error,"±14,555"
    Families,
        Estimate,"121,667"
        Margin of Error,"±27,725"
    Married-couple families,
        Estimate,"124,728"
        Margin of Error,"±55,358"
    Nonfamily households,
        Estimate,"45,885"
        Margin of Error,"±13,816"
"Census Tract 7028.02, Los Angeles County, California",
    Households,
        Estimate,"90,438"
        Margin of Error,"±10,201"
    Families,
        Estimate,"97,750"
        Margin of Error,"±20,149"
    Married-couple families,
        Estimate,"120,250"
        Margin of Error,"±39,428"
    Nonfamily households,
        Estimate,"66,316"
        Margin of Error,"±22,214"
"Census Tract 7028.03, Los Angeles County, California",
    Households,
        Estimate,"63,485"
        Margin of Error,"±13,908"
    Families,
        Estimate,"83,438"
        Margin of Error,"±26,522"
    Married-couple families,
        Estimate,"93,258"
        Margin of Error,"±12,014"
    Nonfamily households,
        Estimate,"44,783"
        Margin of Error,"±20,408"
"Census Tract 7029.01, Los Angeles County, California",
    Households,
        Estimate,"118,162"
        Margin of Error,"±20,330"
    Families,
        Estimate,"142,330"
        Margin of Error,"±28,706"
    Married-couple families,
        Estimate,"156,420"
        Margin of Error,"±21,122"
    Nonfamily households,
        Estimate,"105,944"
        Margin of Error,"±19,181"
"Census Tract 7030.01, Los Angeles County, California",
    Households,
        Estimate,"109,389"
        Margin of Error,"±11,751"
    Families,
        Estimate,"147,070"
        Margin of Error,"±12,502"
    Married-couple families,
        Estimate,"167,091"
        Margin of Error,"±19,096"
    Nonfamily households,
        Estimate,"67,978"
        Margin of Error,"±27,116"
"Census Tract 7030.02, Los Angeles County, California",
    Households,
        Estimate,"101,534"
        Margin of Error,"±16,625"
    Families,
        Estimate,"172,500"
        Margin of Error,"±45,441"
    Married-couple families,
        Estimate,"178,961"
        Margin of Error,"±17,320"
    Nonfamily households,
        Estimate,"58,505"
        Margin of Error,"±22,696"
"Census Tract 7031, Los Angeles County, California",
    Households,
        Estimate,"93,482"
        Margin of Error,"±12,257"
    Families,
        Estimate,"106,750"
        Margin of Error,"±29,815"
    Married-couple families,
        Estimate,"169,393"
        Margin of Error,"±15,018"
    Nonfamily households,
        Estimate,"61,663"
        Margin of Error,"±21,753"
"Census Tract 7032, Los Angeles County, California",
    Households,
        Estimate,"91,042"
        Margin of Error,"±15,519"
    Families,
        Estimate,"123,947"
        Margin of Error,"±19,865"
    Married-couple families,
        Estimate,"135,781"
        Margin of Error,"±32,464"
    Nonfamily households,
        Estimate,"61,507"
        Margin of Error,"±14,643"
"Census Tract 8001.01, Los Angeles County, California",
    Households,
        Estimate,"142,159"
        Margin of Error,"±13,810"
    Families,
        Estimate,"161,944"
        Margin of Error,"±21,147"
    Married-couple families,
        Estimate,"178,173"
        Margin of Error,"±28,054"
    Nonfamily households,
        Estimate,"68,500"
        Margin of Error,"±61,186"
"Census Tract 8001.02, Los Angeles County, California",
    Households,
        Estimate,"130,703"
        Margin of Error,"±14,564"
    Families,
        Estimate,"141,000"
        Margin of Error,"±28,238"
    Married-couple families,
        Estimate,"162,216"
        Margin of Error,"±30,460"
    Nonfamily households,
        Estimate,"96,429"
        Margin of Error,"±21,990"
"Census Tract 8002.02, Los Angeles County, California",
    Households,
        Estimate,"162,048"
        Margin of Error,"±32,910"
    Families,
        Estimate,"173,725"
        Margin of Error,"±29,476"
    Married-couple families,
        Estimate,"201,146"
        Margin of Error,"±38,247"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 8002.03, Los Angeles County, California",
    Households,
        Estimate,"146,543"
        Margin of Error,"±14,481"
    Families,
        Estimate,"166,140"
        Margin of Error,"±13,524"
    Married-couple families,
        Estimate,"187,159"
        Margin of Error,"±67,993"
    Nonfamily households,
        Estimate,"72,697"
        Margin of Error,"±37,528"
"Census Tract 8002.04, Los Angeles County, California",
    Households,
        Estimate,"138,306"
        Margin of Error,"±36,082"
    Families,
        Estimate,"195,395"
        Margin of Error,"±90,447"
    Married-couple families,
        Estimate,"216,337"
        Margin of Error,"±25,343"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 8003.24, Los Angeles County, California",
    Households,
        Estimate,"143,750"
        Margin of Error,"±26,076"
    Families,
        Estimate,"166,597"
        Margin of Error,"±24,445"
    Married-couple families,
        Estimate,"169,393"
        Margin of Error,"±21,362"
    Nonfamily households,
        Estimate,"87,174"
        Margin of Error,"±54,917"
"Census Tract 8003.25, Los Angeles County, California",
    Households,
        Estimate,"133,688"
        Margin of Error,"±24,877"
    Families,
        Estimate,"157,024"
        Margin of Error,"±18,602"
    Married-couple families,
        Estimate,"171,813"
        Margin of Error,"±21,925"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 8003.26, Los Angeles County, California",
    Households,
        Estimate,"133,942"
        Margin of Error,"±26,185"
    Families,
        Estimate,"163,906"
        Margin of Error,"±48,671"
    Married-couple families,
        Estimate,"190,216"
        Margin of Error,"±30,521"
    Nonfamily households,
        Estimate,"76,568"
        Margin of Error,"±25,407"
"Census Tract 8003.27, Los Angeles County, California",
    Households,
        Estimate,"92,740"
        Margin of Error,"±16,940"
    Families,
        Estimate,"120,602"
        Margin of Error,"±15,636"
    Married-couple families,
        Estimate,"121,542"
        Margin of Error,"±11,096"
    Nonfamily households,
        Estimate,"51,000"
        Margin of Error,"±32,256"
"Census Tract 8003.28, Los Angeles County, California",
    Households,
        Estimate,"105,625"
        Margin of Error,"±20,457"
    Families,
        Estimate,"121,806"
        Margin of Error,"±18,889"
    Married-couple families,
        Estimate,"138,785"
        Margin of Error,"±38,660"
    Nonfamily households,
        Estimate,"101,117"
        Margin of Error,"±26,447"
"Census Tract 8003.29, Los Angeles County, California",
    Households,
        Estimate,"94,250"
        Margin of Error,"±24,723"
    Families,
        Estimate,"121,759"
        Margin of Error,"±28,259"
    Married-couple families,
        Estimate,"133,844"
        Margin of Error,"±37,038"
    Nonfamily households,
        Estimate,"46,463"
        Margin of Error,"±27,092"
"Census Tract 8003.30, Los Angeles County, California",
    Households,
        Estimate,"134,250"
        Margin of Error,"±37,593"
    Families,
        Estimate,"181,484"
        Margin of Error,"±32,349"
    Married-couple families,
        Estimate,"183,750"
        Margin of Error,"±26,856"
    Nonfamily households,
        Estimate,"57,727"
        Margin of Error,"±35,355"
"Census Tract 8003.31, Los Angeles County, California",
    Households,
        Estimate,"131,375"
        Margin of Error,"±43,902"
    Families,
        Estimate,"141,250"
        Margin of Error,"±38,200"
    Married-couple families,
        Estimate,"141,250"
        Margin of Error,"±37,911"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 8003.32, Los Angeles County, California",
    Households,
        Estimate,"139,145"
        Margin of Error,"±47,127"
    Families,
        Estimate,"169,390"
        Margin of Error,"±33,806"
    Married-couple families,
        Estimate,"193,500"
        Margin of Error,"±33,776"
    Nonfamily households,
        Estimate,"53,831"
        Margin of Error,"±28,065"
"Census Tract 8004.06, Los Angeles County, California",
    Households,
        Estimate,"145,260"
        Margin of Error,"±23,687"
    Families,
        Estimate,"180,694"
        Margin of Error,"±46,234"
    Married-couple families,
        Estimate,"217,679"
        Margin of Error,"±59,543"
    Nonfamily households,
        Estimate,"92,589"
        Margin of Error,"±74,646"
"Census Tract 8004.08, Los Angeles County, California",
    Households,
        Estimate,"149,026"
        Margin of Error,"±21,730"
    Families,
        Estimate,"175,786"
        Margin of Error,"±32,029"
    Married-couple families,
        Estimate,"195,282"
        Margin of Error,"±49,484"
    Nonfamily households,
        Estimate,"76,620"
        Margin of Error,"±33,061"
"Census Tract 8004.10, Los Angeles County, California",
    Households,
        Estimate,"116,190"
        Margin of Error,"±23,463"
    Families,
        Estimate,"138,984"
        Margin of Error,"±89,122"
    Married-couple families,
        Estimate,"170,833"
        Margin of Error,"±94,801"
    Nonfamily households,
        Estimate,"63,750"
        Margin of Error,"±61,107"
"Census Tract 8005.04, Los Angeles County, California",
    Households,
        Estimate,"168,235"
        Margin of Error,"±52,391"
    Families,
        Estimate,"244,471"
        Margin of Error,"±26,458"
    Married-couple families,
        Estimate,"250,000+"
        Margin of Error,***
    Nonfamily households,
        Estimate,"86,985"
        Margin of Error,"±51,319"
"Census Tract 8005.06, Los Angeles County, California",
    Households,
        Estimate,"169,125"
        Margin of Error,"±23,639"
    Families,
        Estimate,"212,824"
        Margin of Error,"±44,054"
    Married-couple families,
        Estimate,"216,250"
        Margin of Error,"±45,763"
    Nonfamily households,
        Estimate,"109,712"
        Margin of Error,"±37,718"
"Census Tract 9001.02, Los Angeles County, California",
    Households,
        Estimate,"33,750"
        Margin of Error,"±17,753"
    Families,
        Estimate,"44,097"
        Margin of Error,"±8,716"
    Married-couple families,
        Estimate,"44,519"
        Margin of Error,"±8,345"
    Nonfamily households,
        Estimate,"15,250"
        Margin of Error,"±9,076"
"Census Tract 9001.03, Los Angeles County, California",
    Households,
        Estimate,"38,188"
        Margin of Error,"±8,854"
    Families,
        Estimate,"41,175"
        Margin of Error,"±7,706"
    Married-couple families,
        Estimate,"46,591"
        Margin of Error,"±20,420"
    Nonfamily households,
        Estimate,"17,619"
        Margin of Error,"±5,170"
"Census Tract 9001.04, Los Angeles County, California",
    Households,
        Estimate,"48,444"
        Margin of Error,"±3,232"
    Families,
        Estimate,"49,688"
        Margin of Error,"±4,666"
    Married-couple families,
        Estimate,"54,620"
        Margin of Error,"±9,921"
    Nonfamily households,
        Estimate,"39,500"
        Margin of Error,"±26,567"
"Census Tract 9002.01, Los Angeles County, California",
    Households,
        Estimate,"49,625"
        Margin of Error,"±23,452"
    Families,
        Estimate,"69,297"
        Margin of Error,"±30,144"
    Married-couple families,
        Estimate,"78,000"
        Margin of Error,"±44,300"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 9003, Los Angeles County, California",
    Households,
        Estimate,"56,757"
        Margin of Error,"±9,612"
    Families,
        Estimate,"60,799"
        Margin of Error,"±15,030"
    Married-couple families,
        Estimate,"69,926"
        Margin of Error,"±21,026"
    Nonfamily households,
        Estimate,"38,036"
        Margin of Error,"±34,564"
"Census Tract 9005.01, Los Angeles County, California",
    Households,
        Estimate,"55,166"
        Margin of Error,"±6,541"
    Families,
        Estimate,"57,193"
        Margin of Error,"±5,864"
    Married-couple families,
        Estimate,"85,985"
        Margin of Error,"±18,275"
    Nonfamily households,
        Estimate,"24,006"
        Margin of Error,"±18,196"
"Census Tract 9005.04, Los Angeles County, California",
    Households,
        Estimate,"58,949"
        Margin of Error,"±11,297"
    Families,
        Estimate,"64,028"
        Margin of Error,"±13,911"
    Married-couple families,
        Estimate,"81,163"
        Margin of Error,"±15,273"
    Nonfamily households,
        Estimate,"41,094"
        Margin of Error,"±31,417"
"Census Tract 9005.05, Los Angeles County, California",
    Households,
        Estimate,"40,556"
        Margin of Error,"±9,473"
    Families,
        Estimate,"45,234"
        Margin of Error,"±7,183"
    Married-couple families,
        Estimate,"54,375"
        Margin of Error,"±17,402"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 9005.06, Los Angeles County, California",
    Households,
        Estimate,"56,290"
        Margin of Error,"±10,226"
    Families,
        Estimate,"65,038"
        Margin of Error,"±15,931"
    Married-couple families,
        Estimate,"69,541"
        Margin of Error,"±7,047"
    Nonfamily households,
        Estimate,"19,167"
        Margin of Error,"±10,579"
"Census Tract 9005.07, Los Angeles County, California",
    Households,
        Estimate,"45,196"
        Margin of Error,"±8,647"
    Families,
        Estimate,"44,953"
        Margin of Error,"±8,458"
    Married-couple families,
        Estimate,"61,122"
        Margin of Error,"±7,089"
    Nonfamily households,
        Estimate,"28,984"
        Margin of Error,"±21,507"
"Census Tract 9005.08, Los Angeles County, California",
    Households,
        Estimate,"71,458"
        Margin of Error,"±13,702"
    Families,
        Estimate,"70,208"
        Margin of Error,"±14,094"
    Married-couple families,
        Estimate,"80,563"
        Margin of Error,"±11,216"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 9006.02, Los Angeles County, California",
    Households,
        Estimate,"36,000"
        Margin of Error,"±7,598"
    Families,
        Estimate,"39,922"
        Margin of Error,"±6,973"
    Married-couple families,
        Estimate,"42,276"
        Margin of Error,"±5,548"
    Nonfamily households,
        Estimate,"10,379"
        Margin of Error,"±2,250"
"Census Tract 9006.05, Los Angeles County, California",
    Households,
        Estimate,"38,965"
        Margin of Error,"±11,060"
    Families,
        Estimate,"40,333"
        Margin of Error,"±18,988"
    Married-couple families,
        Estimate,"50,668"
        Margin of Error,"±19,165"
    Nonfamily households,
        Estimate,"19,531"
        Margin of Error,"±8,822"
"Census Tract 9006.06, Los Angeles County, California",
    Households,
        Estimate,"32,025"
        Margin of Error,"±13,649"
    Families,
        Estimate,"39,872"
        Margin of Error,"±7,503"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,"9,835"
        Margin of Error,"±4,598"
"Census Tract 9006.07, Los Angeles County, California",
    Households,
        Estimate,"39,519"
        Margin of Error,"±9,446"
    Families,
        Estimate,"39,063"
        Margin of Error,"±8,502"
    Married-couple families,
        Estimate,"59,219"
        Margin of Error,"±13,433"
    Nonfamily households,
        Estimate,"29,539"
        Margin of Error,"±13,300"
"Census Tract 9006.08, Los Angeles County, California",
    Households,
        Estimate,"55,585"
        Margin of Error,"±11,123"
    Families,
        Estimate,"56,042"
        Margin of Error,"±21,691"
    Married-couple families,
        Estimate,"80,298"
        Margin of Error,"±12,668"
    Nonfamily households,
        Estimate,"54,063"
        Margin of Error,"±16,374"
"Census Tract 9006.09, Los Angeles County, California",
    Households,
        Estimate,"34,306"
        Margin of Error,"±13,399"
    Families,
        Estimate,"35,764"
        Margin of Error,"±19,304"
    Married-couple families,
        Estimate,"77,222"
        Margin of Error,"±18,629"
    Nonfamily households,
        Estimate,"13,533"
        Margin of Error,"±8,336"
"Census Tract 9007.01, Los Angeles County, California",
    Households,
        Estimate,"39,341"
        Margin of Error,"±6,087"
    Families,
        Estimate,"42,525"
        Margin of Error,"±4,969"
    Married-couple families,
        Estimate,"52,014"
        Margin of Error,"±15,080"
    Nonfamily households,
        Estimate,"11,136"
        Margin of Error,"±9,261"
"Census Tract 9007.03, Los Angeles County, California",
    Households,
        Estimate,"40,938"
        Margin of Error,"±6,480"
    Families,
        Estimate,"43,306"
        Margin of Error,"±5,859"
    Married-couple families,
        Estimate,"58,036"
        Margin of Error,"±13,441"
    Nonfamily households,
        Estimate,"28,125"
        Margin of Error,"±19,406"
"Census Tract 9007.04, Los Angeles County, California",
    Households,
        Estimate,"42,330"
        Margin of Error,"±7,075"
    Families,
        Estimate,"42,044"
        Margin of Error,"±7,343"
    Married-couple families,
        Estimate,"46,806"
        Margin of Error,"±34,102"
    Nonfamily households,
        Estimate,"43,214"
        Margin of Error,"±9,825"
"Census Tract 9007.05, Los Angeles County, California",
    Households,
        Estimate,"47,538"
        Margin of Error,"±13,834"
    Families,
        Estimate,"55,147"
        Margin of Error,"±18,279"
    Married-couple families,
        Estimate,"81,382"
        Margin of Error,"±25,325"
    Nonfamily households,
        Estimate,"33,340"
        Margin of Error,"±7,661"
"Census Tract 9008.03, Los Angeles County, California",
    Households,
        Estimate,"56,144"
        Margin of Error,"±7,317"
    Families,
        Estimate,"54,213"
        Margin of Error,"±10,893"
    Married-couple families,
        Estimate,"68,103"
        Margin of Error,"±16,021"
    Nonfamily households,
        Estimate,"46,994"
