STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,GEO_ID,TL_GEO_ID,NAME_E,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone, Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,   Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,,Total: Worked in county of residence ,Worked outside county of residence,Worked outside state of residence,All Commuters," Car, truck, or van","Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation,Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar or trolley ",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Total Educational Attainment Population,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Median earnings in the past 12 months (Total),Median earnings in the past 12 months (Male),Median earnings in the past 12 months (Female)
California,6,Calaveras County,9,Arnold-West Point CCD,90105,0600000US0600990105,600990105,"Arnold-West Point CCD, Calaveras County, California",9260,7721,148,328,126,0,140,797,782,192,0,43,0,0,140,407,3465,2564,901,0,3465,2288,2074,214,0,0,0,0,0,0,4,0,20,71,77,1005,203,497,377,110,113,49,311,82,152,156,261,149,7637,0,0,0,0,0,0,0,0,9,0,29,0,20,161,265,1792,354,427,1310,869,1415,755,156,75,39397,48311,36316
California,6,Calaveras County,9,San Andreas CCD,92740,0600000US0600992740,600992740,"San Andreas CCD, Calaveras County, California",23696,18424,249,245,892,18,863,3005,3857,844,0,190,0,0,860,1963,9077,5179,3898,0,9077,7867,7098,769,63,49,0,14,0,0,0,0,0,24,63,1060,247,760,734,926,533,194,1003,128,474,1125,1016,877,18002,101,0,0,0,10,0,0,0,0,0,38,93,270,391,348,5813,841,1890,3486,1671,2121,761,72,96,41703,45198,35930
California,6,Colusa County,11,Central Colusa CCD,90430,0600000US0601190430,601190430,"Central Colusa CCD, Colusa County, California",12688,6336,4,82,13,0,3416,2837,9304,3400,0,82,11,0,3281,2530,5686,3861,1804,21,5686,5401,4662,739,14,14,0,0,0,0,0,0,16,12,56,187,370,847,728,875,472,134,649,145,186,464,471,158,7760,601,0,0,11,195,215,62,238,470,32,62,180,81,128,259,1941,153,557,826,625,986,135,0,3,40617,49713,30949
California,6,Colusa County,11,East Colusa CCD,90770,0600000US0601190770,601190770,"East Colusa CCD, Colusa County, California",8572,4389,257,211,127,12,2110,1466,4274,907,0,69,33,0,2089,1176,3256,2473,783,0,3256,2907,2618,289,21,21,0,0,0,0,0,0,0,44,16,268,265,631,417,283,377,216,233,24,49,228,235,30,5667,116,0,10,0,0,3,107,30,255,10,128,82,67,155,216,1588,218,405,824,643,514,201,67,28,42339,46747,35662
California,6,Colusa County,11,West Colusa CCD,93610,0600000US0601193610,601193610,"West Colusa CCD, Colusa County, California",635,485,50,15,5,2,27,51,61,34,0,3,0,0,11,13,246,160,70,16,246,160,139,21,3,3,0,0,0,0,0,0,0,20,0,63,26,9,0,30,8,4,22,0,0,9,66,9,543,0,0,0,0,0,0,0,0,0,0,0,2,5,3,22,229,9,32,75,71,79,11,4,1,-666666666,56250,-666666666
California,6,Contra Costa County,13,Antioch-Pittsburg CCD,90080,0600000US0601390080,601390080,"Antioch-Pittsburg CCD, Contra Costa County, California",169160,45211,26162,2520,18608,1757,42707,32195,79427,10131,874,2104,547,37,41857,23877,76257,54966,21173,118,76257,64046,53198,10848,4293,890,1948,1338,117,0,25,125,122,926,790,5930,906,4292,6925,6674,6619,2900,7809,2349,3745,9424,11519,7165,112931,5098,23,69,52,245,652,533,552,3547,612,1223,1910,1626,1555,5380,28086,5552,8797,17044,9285,15246,4544,839,461,42629,50718,36468
California,6,Contra Costa County,13,Briones CCD,90270,0600000US0601390270,601390270,"Briones CCD, Contra Costa County, California",5607,1888,884,0,1836,0,119,880,741,122,0,0,0,0,109,510,2857,1809,1048,0,2857,1831,1610,221,189,22,150,17,0,0,0,23,0,47,48,719,47,17,93,211,252,135,350,13,59,343,483,135,4249,17,0,0,0,0,9,0,10,21,0,35,53,0,23,164,511,67,140,1072,330,1092,538,83,84,60343,62656,54909
California,6,Contra Costa County,13,Central Contra Costa CCD,90440,0600000US0601390440,601390440,"Central Contra Costa CCD, Contra Costa County, California",502252,293904,13378,2843,91503,1407,30779,68438,85473,18585,693,2192,809,114,27657,35423,244283,170367,72756,1160,244283,157412,139225,18187,16388,1638,10349,3617,769,15,398,569,1149,5937,2760,59670,4563,13039,22385,25536,21626,9369,22070,5218,8512,19773,23315,9207,359252,4345,65,6,21,253,352,240,489,2195,493,681,1475,1285,1805,4967,39306,5064,17198,41339,27540,124290,56546,18068,11229,76059,91721,61648
California,6,Contra Costa County,13,East Contra Costa CCD,90780,0600000US0601390780,601390780,"East Contra Costa CCD, Contra Costa County, California",147559,72233,15439,635,20112,731,18456,19953,39288,8209,712,321,291,81,17339,12335,68874,47647,20865,362,68874,54290,47249,7041,1788,434,605,627,122,0,24,179,115,918,332,11228,1300,4560,6528,6483,4233,1140,3965,1114,2578,6593,11096,8056,98415,1588,91,45,71,77,114,25,185,1004,24,248,564,699,736,3589,19906,2384,8096,16786,10355,22368,7038,1517,905,60262,73203,47278
California,6,Contra Costa County,13,Tassajara CCD,93310,0600000US0601393310,601393310,"Tassajara CCD, Contra Costa County, California",68961,20565,6646,321,32174,364,2903,5988,7746,1586,34,263,278,97,2641,2847,32886,20799,11748,339,32886,19997,17298,2699,1755,360,989,310,96,0,0,93,32,513,425,10071,403,972,1637,2653,2733,865,1965,788,553,3049,4385,2812,46429,865,28,50,0,0,19,24,130,96,26,11,51,216,213,937,4411,511,1645,4252,3201,16267,10402,1655,1419,91440,122795,64249
