OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
4441,06037222700,1,1,3748,0.3,11875.8,District 2,SPA 6 - South,Los Angeles - Exposition Park,8798447.25292969,13590.7128230426
4442,06037224010,1,1,2433,0.3,7588.3,District 1,SPA 4 - Metro,Los Angeles - Downtown,8938257.07910156,13900.8247525451
4443,06037224020,1,1,2789,0.5,5861.6,District 1,SPA 4 - Metro,Los Angeles - Downtown,13264734.1816406,15226.2329366022
4444,06037234300,1,1,4098,0.3,12195.7,District 2,SPA 6 - South,Los Angeles - Leimert Park,9367809.46386719,12185.1553297061
4445,06037234600,1,1,5024,0.5,9984.3,District 2,SPA 6 - South,Los Angeles - Hyde Park,14034822.8710938,17840.2050305786
4446,06037265305,1,1,4082,0.1,34015.7,District 3,SPA 5 - West,Los Angeles - Westwood,3345535.60644531,9994.94156437671
4447,06037265100,1,1,2489,0.9,2729,District 3,SPA 5 - West,Los Angeles - Westwood,25424207.1035156,24407.4357917787
4448,06037265301,1,1,9344,0.6,15165,District 3,SPA 5 - West,Los Angeles - Westwood,17176805.546875,20495.4870783939
4449,06037238200,1,1,5267,0.4,13287.6,District 2,SPA 6 - South,Los Angeles - Vermont Knolls,11050838.1708984,13886.1109182379
4450,06037265410,1,1,1576,0.2,7250.4,District 3,SPA 5 - West,Los Angeles - Brentwood,6060183.92089844,14563.8513518081
4451,06037237800,1,1,4371,0.4,11637.6,District 2,SPA 6 - South,Los Angeles - Vermont Knolls,10471227.2998047,13143.564045055
4452,06037238000,1,1,5864,0.6,9129.6,District 2,SPA 6 - South,Los Angeles - Gramercy Place,17907116.0761719,21142.219726951
4453,06037211000,1,1,4431,1,4319.6,District 2,SPA 4 - Metro,Los Angeles - Hancock Park,28596657.0537109,25170.3314796114
4454,06037211120,1,1,5194,0.2,23722.3,District 2,SPA 4 - Metro,Los Angeles - Wilshire Center,6103849.81640625,10530.5311895295
4455,06037224700,1,1,4856,0.2,19780.7,District 2,SPA 6 - South,Los Angeles - University Park,6843908.37109375,10813.4918567124
4456,06037265420,1,1,1811,0.3,6418.5,District 3,SPA 5 - West,Los Angeles - Westwood,7865736.84472656,12339.1316052005
4457,06037265520,1,1,4561,0.3,15391,District 3,SPA 5 - West,Los Angeles - Westwood,8258011.88183594,13423.1571863365
4458,06037265700,1,1,4720,0.5,9913.9,District 3,SPA 5 - West,Los Angeles - Westwood,13272662.4482422,15243.8231430388
4459,06037240300,1,1,5691,0.3,18118.1,District 2,SPA 6 - South,Los Angeles - Vermont Vista,8757019.12304688,11999.6272676584
4460,06037267800,1,1,2917,0.4,6562.9,District 3,SPA 5 - West,Los Angeles - Rancho Park,12391142.7695313,14894.9121330231
4461,06037267200,1,1,5927,0.5,13037.8,District 3,SPA 5 - West,Los Angeles - West Los Angeles,12655683.1220703,14810.9221494652
4462,06037267600,1,1,2549,0.5,5200.5,District 3,SPA 5 - West,Los Angeles - West Los Angeles,13664506.8359375,15228.3042119129
4463,06037235202,1,1,4557,0.3,13860.1,District 2,SPA 6 - South,Los Angeles - Hyde Park,9166266.04101563,13212.6170633108
